"tenure","monthlycharges","churn","churn_risk"
25,"88.4","No","Moderate Risk"
25,"85.9","No","Moderate Risk"
25,"84.6","No","Moderate Risk"
25,"81.75","No","Moderate Risk"
25,"79","No","Moderate Risk"
25,"78.35","No","Moderate Risk"
25,"76.15","No","Moderate Risk"
25,"75.5","No","Moderate Risk"
25,"74.6","No","Moderate Risk"
25,"74.3","No","Moderate Risk"
25,"71.05","No","Moderate Risk"
25,"69.75","No","Moderate Risk"
25,"69.5","No","Moderate Risk"
25,"69.3","No","Moderate Risk"
25,"65.8","No","Moderate Risk"
25,"61.6","No","Moderate Risk"
25,"61.05","No","Moderate Risk"
25,"60.35","No","Moderate Risk"
24,"88.95","No","Moderate Risk"
24,"85.95","No","Moderate Risk"
24,"84.85","No","Moderate Risk"
24,"84.8","No","Moderate Risk"
24,"84.35","No","Moderate Risk"
24,"83.15","No","Moderate Risk"
24,"81","No","Moderate Risk"
24,"80.5","No","Moderate Risk"
24,"79.85","No","Moderate Risk"
24,"79.85","No","Moderate Risk"
24,"79.65","No","Moderate Risk"
24,"78.6","No","Moderate Risk"
24,"78.4","No","Moderate Risk"
24,"74.8","No","Moderate Risk"
24,"74.4","No","Moderate Risk"
24,"70.3","No","Moderate Risk"
24,"70","No","Moderate Risk"
24,"69.45","No","Moderate Risk"
24,"66.3","No","Moderate Risk"
24,"64.35","No","Moderate Risk"
24,"60.45","No","Moderate Risk"
24,"58.35","No","Moderate Risk"
23,"88.45","No","Moderate Risk"
23,"86.8","No","Moderate Risk"
23,"86.8","No","Moderate Risk"
23,"85.6","No","Moderate Risk"
23,"84.4","No","Moderate Risk"
23,"84.25","No","Moderate Risk"
23,"83.75","No","Moderate Risk"
23,"83.2","No","Moderate Risk"
23,"81.85","No","Moderate Risk"
23,"79.35","No","Moderate Risk"
23,"79.1","No","Moderate Risk"
23,"78.55","No","Moderate Risk"
23,"77.15","No","Moderate Risk"
23,"75.4","No","Moderate Risk"
23,"75.3","No","Moderate Risk"
23,"75","No","Moderate Risk"
23,"73.75","No","Moderate Risk"
23,"73.65","No","Moderate Risk"
23,"69.5","No","Moderate Risk"
23,"68.75","No","Moderate Risk"
23,"66.25","No","Moderate Risk"
23,"64.9","No","Moderate Risk"
23,"60","No","Moderate Risk"
23,"59.95","No","Moderate Risk"
23,"59.7","No","Moderate Risk"
22,"88.75","No","Moderate Risk"
22,"87","No","Moderate Risk"
22,"85.35","No","Moderate Risk"
22,"84.75","No","Moderate Risk"
22,"84.15","No","Moderate Risk"
22,"83.05","No","Moderate Risk"
22,"81.7","No","Moderate Risk"
22,"80.15","No","Moderate Risk"
22,"80","No","Moderate Risk"
22,"78.85","No","Moderate Risk"
22,"78.65","No","Moderate Risk"
22,"76","No","Moderate Risk"
22,"75.8","No","Moderate Risk"
22,"75","No","Moderate Risk"
22,"69.75","No","Moderate Risk"
22,"69.7","No","Moderate Risk"
22,"65.25","No","Moderate Risk"
22,"65.05","No","Moderate Risk"
22,"63.55","No","Moderate Risk"
22,"59.75","No","Moderate Risk"
22,"59.05","No","Moderate Risk"
21,"86.55","No","Moderate Risk"
21,"86.05","No","Moderate Risk"
21,"84.1","No","Moderate Risk"
21,"80.9","No","Moderate Risk"
21,"80.35","No","Moderate Risk"
21,"79.2","No","Moderate Risk"
21,"75.9","No","Moderate Risk"
21,"75.3","No","Moderate Risk"
21,"73.7","No","Moderate Risk"
21,"71.7","No","Moderate Risk"
21,"71.05","No","Moderate Risk"
21,"68.65","No","Moderate Risk"
21,"65.35","No","Moderate Risk"
21,"64.95","No","Moderate Risk"
21,"64.85","No","Moderate Risk"
21,"61.65","No","Moderate Risk"
21,"60.25","No","Moderate Risk"
21,"58.85","No","Moderate Risk"
20,"84.35","No","Moderate Risk"
20,"81.45","No","Moderate Risk"
20,"81","No","Moderate Risk"
20,"80.7","No","Moderate Risk"
20,"78.8","No","Moderate Risk"
20,"76","No","Moderate Risk"
20,"70.55","No","Moderate Risk"
20,"69.8","No","Moderate Risk"
20,"68.9","No","Moderate Risk"
20,"68.7","No","Moderate Risk"
20,"64.4","No","Moderate Risk"
20,"64.15","No","Moderate Risk"
20,"60","No","Moderate Risk"
20,"59.2","No","Moderate Risk"
19,"88.8","No","Moderate Risk"
19,"87.7","No","Moderate Risk"
19,"87.3","No","Moderate Risk"
19,"86.85","No","Moderate Risk"
19,"84.75","No","Moderate Risk"
19,"78.7","No","Moderate Risk"
19,"75.9","No","Moderate Risk"
19,"69.6","No","Moderate Risk"
19,"66.4","No","Moderate Risk"
19,"65.35","No","Moderate Risk"
19,"61.55","No","Moderate Risk"
19,"60.6","No","Moderate Risk"
19,"59.8","No","Moderate Risk"
19,"59.55","No","Moderate Risk"
19,"58.2","No","Moderate Risk"
18,"88.85","No","Moderate Risk"
18,"87.9","No","Moderate Risk"
18,"85.6","No","Moderate Risk"
18,"84.95","No","Moderate Risk"
18,"84.3","No","Moderate Risk"
18,"83.25","No","Moderate Risk"
18,"80.55","No","Moderate Risk"
18,"80.55","No","Moderate Risk"
18,"78.2","No","Moderate Risk"
18,"77.8","No","Moderate Risk"
18,"75.9","No","Moderate Risk"
18,"75.6","No","Moderate Risk"
18,"75.4","No","Moderate Risk"
18,"74.8","No","Moderate Risk"
18,"74.7","No","Moderate Risk"
18,"74.15","No","Moderate Risk"
18,"74.15","No","Moderate Risk"
18,"73.55","No","Moderate Risk"
18,"73.15","No","Moderate Risk"
18,"71.1","No","Moderate Risk"
18,"69.8","No","Moderate Risk"
18,"69.5","No","Moderate Risk"
18,"68.35","No","Moderate Risk"
18,"64.8","No","Moderate Risk"
18,"61.5","No","Moderate Risk"
18,"60.6","No","Moderate Risk"
18,"59.1","No","Moderate Risk"
18,"58.4","No","Moderate Risk"
17,"86.75","No","Moderate Risk"
17,"83.55","No","Moderate Risk"
17,"82.65","No","Moderate Risk"
17,"80.85","No","Moderate Risk"
17,"80.5","No","Moderate Risk"
17,"80.05","No","Moderate Risk"
17,"79.85","No","Moderate Risk"
17,"78.9","No","Moderate Risk"
17,"75.4","No","Moderate Risk"
17,"74.55","No","Moderate Risk"
17,"70.8","No","Moderate Risk"
17,"70.5","No","Moderate Risk"
17,"70.35","No","Moderate Risk"
17,"69","No","Moderate Risk"
17,"66.7","No","Moderate Risk"
17,"65.75","No","Moderate Risk"
17,"64.8","No","Moderate Risk"
17,"62.1","No","Moderate Risk"
17,"61.95","No","Moderate Risk"
16,"86.25","No","Moderate Risk"
16,"85.05","No","Moderate Risk"
16,"84.9","No","Moderate Risk"
16,"80.75","No","Moderate Risk"
16,"80.55","No","Moderate Risk"
16,"79.95","No","Moderate Risk"
16,"79.5","No","Moderate Risk"
16,"78.75","No","Moderate Risk"
16,"75.4","No","Moderate Risk"
16,"75.1","No","Moderate Risk"
16,"74.75","No","Moderate Risk"
16,"74.55","No","Moderate Risk"
16,"74.45","No","Moderate Risk"
16,"73.25","No","Moderate Risk"
16,"71.4","No","Moderate Risk"
16,"69.95","No","Moderate Risk"
16,"69.65","No","Moderate Risk"
16,"69.1","No","Moderate Risk"
16,"68.25","No","Moderate Risk"
16,"64.25","No","Moderate Risk"
16,"63.05","No","Moderate Risk"
15,"89","No","Moderate Risk"
15,"87.75","No","Moderate Risk"
15,"85.3","No","Moderate Risk"
15,"84.45","No","Moderate Risk"
15,"84.35","No","Moderate Risk"
15,"83.2","No","Moderate Risk"
15,"76.5","No","Moderate Risk"
15,"75.35","No","Moderate Risk"
15,"75.1","No","Moderate Risk"
15,"69.5","No","Moderate Risk"
15,"68.6","No","Moderate Risk"
15,"65.6","No","Moderate Risk"
15,"64.85","No","Moderate Risk"
